title,not discounted price,discount,price,developer,extraction date
FIA European Truck Racing Championship,30€,-90%,2.92€,N-RACING,2022-11-22 22:56:24.586701
Manual Samuel,10€,-90%,1.00€,Perfectly Paranormal,2022-11-22 22:56:25.906869
Rage 2 Deluxe Edition - Europe,60€,-90%,6.02€,id SoftwareAvalanche Studios,2022-11-22 22:56:28.152020
Sniper Elite V2 Remastered,35€,-90%,3.55€,Rebellion,2022-11-22 22:56:31.527062
Holy Potatoes! We're In Space?!,10€,-90%,1.00€,Daylight Studios,2022-11-22 22:56:41.467508
Ultra Street Fighter IV - Europe,28€,-90%,2.90€,Capcom,2022-11-22 22:58:14.732506
Hidden & Dangerous 2: Courage Under Fire,10€,-90%,1.00€,Illusion Softworks,2022-11-22 22:58:17.653501
Grotesque Tactics: Evil Heroes,10€,-90%,1.00€,Silent Dreams,2022-11-22 22:58:22.955469
Grotesque Tactics 2: Dungeons and Donuts,10€,-90%,1.00€,Silent Dreams,2022-11-22 22:58:26.672426
MotoGP 19,25€,-90%,2.53€,Milestone S.r.l.,2022-11-22 22:58:29.102713
Blood Bowl 2,20€,-90%,1.99€,Cyanide Studios,2022-11-22 22:58:32.957103
Civilization IV: Complete Edition,25€,-90%,3.50€,Firaxis Games,2022-11-22 22:58:35.219746
Battleplan American Civil War,10€,-90%,1.00€,The Mustard Corporation,2022-11-22 22:58:36.488829
Dead In Vinland,20€,-90%,1.99€,Ishtar Games,2022-11-22 22:58:37.939365
Ancient Space,20€,-90%,2.00€,CreativeForge Games,2022-11-22 22:58:39.140602
Alien Spidy,10€,-90%,1.00€,Enigma SP,2022-11-22 22:58:40.485065
Alien Breed 3: Descent,10€,-90%,1.00€,Team17 Digital Ltd,2022-11-22 22:58:41.742461
Mafia III: Sign of The Times,10€,-90%,1.00€,Hangar 13,2022-11-22 22:58:42.925565
X-Morph Defense,20€,-90%,1.97€,Exor Studios,2022-11-22 22:58:47.490197
Moon Hunters,12€,-90%,1.20€,Kitfox Games,2022-11-22 22:58:48.702280
Stars In Shadow,23€,-90%,2.32€,Ashdar Games,2022-11-22 22:59:36.006991
Staxel,20€,-90%,1.99€,Plukit,2022-11-22 22:59:37.484940
Supraland,20€,-90%,1.99€,Supra Games,2022-11-22 22:59:39.159105
My hero one's justice,60€,-90%,5.99€,Byking Inc.,2022-11-22 22:59:40.587974
Stories Untold,10€,-90%,1.01€,No Code,2022-11-22 22:59:41.706277
Sid Meier's Railroads!,10€,-90%,1.00€,Firaxis GamesFeral Interactive (Mac),2022-11-22 22:59:43.189489
Shadowrun Returns,15€,-90%,1.49€,Harebrained Schemes,2022-11-22 22:59:44.304661
Sengoku,10€,-90%,1.00€,Paradox Development Studio,2022-11-22 22:59:45.519398
Renoir,10€,-90%,1.00€,Black Wing Foundation,2022-11-22 22:59:46.703893
Planets Under Attack,10€,-90%,1.00€,Targem Games,2022-11-22 22:59:47.932603
Memoria,20€,-90%,1.93€,Daedalic Entertainment,2022-11-22 22:59:49.187500
Kingdom: New Lands,15€,-90%,1.49€,Noio,2022-11-22 22:59:50.399431
Holy Potatoes! A Weapon Shop?!,10€,-90%,1.00€,Daylight Studios,2022-11-22 22:59:51.930799
Earthlock,25€,-90%,2.59€,Snowcastle Games,2022-11-22 22:59:53.136381
Hitman 2,90€,-90%,8.92€,Io-Interactive A/S,2022-11-22 22:59:56.773293
Ride 3,40€,-90%,3.99€,Milestone S.r.l.,2022-11-22 22:59:57.955091
Deadfall Adventures,20€,-90%,2.08€,The Farm 51,2022-11-22 22:59:59.067694
Deployment,10€,-90%,1.00€,Whale Rock Games,2022-11-22 23:00:00.514217
Haimrik,10€,-90%,1.00€,Below the Game,2022-11-22 23:00:01.702592
Ancestors Legacy,30€,-90%,2.99€,Destructive Creations,2022-11-22 23:00:02.984782
The Darkness II,30€,-90%,2.99€,Digital Extremes,2022-11-22 23:00:04.222701
Burly Men at Sea,10€,-90%,1.00€,Brain&Brain,2022-11-22 23:00:05.550762
Fear Effect Sedna,20€,-90%,2.02€,Sushee,2022-11-22 23:00:06.729862
Crashlands,15€,-90%,1.50€,Butterscotch Shenanigans,2022-11-22 23:00:08.131058
Timelock VR,10€,-90%,1.00€,Whale Rock Games,2022-11-22 23:00:09.494534
We are the Dwarves,10€,-90%,1.00€,Whale Rock Games,2022-11-22 23:00:10.614538
The Bureau: XCOM Declassified,20€,-90%,1.99€,2K Marin,2022-11-22 23:00:11.738716
The LEGO NINJAGO Movie Video Game,30€,-90%,2.99€,Traveller's TalesTT Games,2022-11-22 23:00:12.913768
Sid Meier's Civilization V: Brave New World,30€,-90%,2.87€,Firaxis GamesAspyr (Mac)Aspyr (Linux),2022-11-22 23:00:14.648570
Raiden V Director’s Cut,25€,-90%,2.41€,"Moss Co., Ltd.",2022-11-22 23:00:15.880371
Underworld Ascendant,30€,-90%,3.14€,OtherSide Entertainment,2022-11-22 23:00:17.379782
State of Mind,20€,-90%,2.04€,Daedalic Entertainment,2022-11-22 23:00:18.602882
Darksiders II Deathinitive Edition, 30€,-90%,2.96€,Gunfire GamesVigil GamesTHQ Nordic,2022-11-22 23:00:19.758992
Tannenberg,20€,-90%,1.99€,M2HBlackmill Games,2022-11-22 23:00:23.210566
Crowntakers,10€,-90%,1.00€,Bulwark Studios,2022-11-22 23:00:24.576437
LEGO Marvel Super Heroes 2,30€,-90%,2.99€,TT GamesFeral Interactive (Mac),2022-11-22 23:00:26.066959
Ceres,20€,-90%,1.99€,Jötunn Games,2022-11-22 23:00:27.382943
Outcast: Second Contact,15€,-90%,1.49€,Appeal,2022-11-22 23:00:29.146622
Dungeons 3 - Europe,30€,-90%,2.99€,Realmforge Studios,2022-11-22 23:00:31.202116
Sniper Elite 4 Season Pass,35€,-90%,3.46€,Rebellion,2022-11-22 23:00:32.357041
MXGP3 - The Official Motocross Videogame,20€,-90%,2.00€,Milestone S.r.l.,2022-11-22 23:00:33.825739
Hob,20€,-90%,1.99€,Runic Games,2022-11-22 23:00:35.612807
MX vs ATV Reflex,20€,-90%,1.91€, Double Helix GamesRainbow StudiosTHQ Nordic,2022-11-22 23:00:36.759578
The LEGO Movie: Videogame,20€,-90%,1.99€,TT FusionTraveller's Tales,2022-11-22 23:00:38.050277
Killing Floor 2 Digital Deluxe Edition,37€,-90%,3.79€,Tripwire Interactive,2022-11-22 23:00:43.076788
Metal Gear Survive,40€,-90%,3.90€,Konami Digital Entertainment,2022-11-22 23:00:45.524176
